Instance	Formulation type	Assets number	Time window Length	Maintenance Types	Solution Status	Solving Time	Solution value
data/Instance_aproximated_1.txt	Langrange	10	5	3	To be defined	0.000672	-451.5	
data/Instance_aproximated_2.txt	Langrange	10	5	3	To be defined	0.000357	-596	
data/Instance_aproximated_3.txt	Langrange	10	5	3	To be defined	0.000425	-130	
data/Instance_aproximated_4.txt	Langrange	10	5	3	To be defined	0.00042	-512	
data/Instance_aproximated_5.txt	Langrange	10	5	3	To be defined	0.000414	-324	
data/Instance_aproximated_6.txt	Langrange	10	5	3	To be defined	0.000854	125	
data/Instance_aproximated_7.txt	Langrange	10	5	3	To be defined	0.000378	-352	
data/Instance_aproximated_8.txt	Langrange	10	5	3	To be defined	0.000402	332.5	
data/Instance_aproximated_9.txt	Langrange	10	5	3	To be defined	0.000332	696.5	
data/Instance_aproximated_10.txt	Langrange	10	5	3	To be defined	0.000327	-819	
data/Instance_aproximated_11.txt	Langrange	10	5	3	To be defined	0.000282	275	
data/Instance_aproximated_12.txt	Langrange	10	5	3	To be defined	0.000268	-142	
data/Instance_aproximated_13.txt	Langrange	10	5	3	To be defined	0.00041	-482	
data/Instance_aproximated_14.txt	Langrange	10	5	3	To be defined	0.000386	-161	
data/Instance_aproximated_15.txt	Langrange	10	5	3	To be defined	0.000356	-117	
data/Instance_aproximated_16.txt	Langrange	10	5	3	To be defined	0.000414	-480.5	
data/Instance_aproximated_17.txt	Langrange	10	5	3	To be defined	0.000343	-211.5	
data/Instance_aproximated_18.txt	Langrange	10	5	3	To be defined	0.000344	-939	
data/Instance_aproximated_19.txt	Langrange	10	5	3	To be defined	0.000326	169.5	
data/Instance_aproximated_20.txt	Langrange	10	5	3	To be defined	0.000322	-103	
data/Instance_aproximated_21.txt	Langrange	10	5	3	To be defined	0.00031	-378.5	
data/Instance_aproximated_22.txt	Langrange	10	5	3	To be defined	0.00027	-278.5	
data/Instance_aproximated_23.txt	Langrange	10	5	3	To be defined	0.000336	-387	
data/Instance_aproximated_24.txt	Langrange	10	5	3	To be defined	0.000336	-503	
data/Instance_aproximated_25.txt	Langrange	10	5	3	To be defined	0.000466	-526	
data/Instance_aproximated_26.txt	Langrange	10	5	3	To be defined	0.000598	-20	
data/Instance_aproximated_27.txt	Langrange	10	5	3	To be defined	0.000389	463	
data/Instance_aproximated_28.txt	Langrange	10	5	3	To be defined	0.000391	-170	
data/Instance_aproximated_29.txt	Langrange	10	5	3	To be defined	0.000416	-444	
data/Instance_aproximated_30.txt	Langrange	10	5	3	To be defined	0.000499	-422.5	
data/Instance_aproximated_31.txt	Langrange	10	5	3	To be defined	0.000645	-158	
data/Instance_aproximated_32.txt	Langrange	10	5	3	To be defined	0.000499	-178	
data/Instance_aproximated_33.txt	Langrange	10	5	3	To be defined	0.000412	-260.5	
data/Instance_aproximated_34.txt	Langrange	10	5	3	To be defined	0.000373	-228	
data/Instance_aproximated_35.txt	Langrange	10	5	3	To be defined	0.000522	-346	
data/Instance_aproximated_36.txt	Langrange	10	5	3	To be defined	0.000454	148	
data/Instance_aproximated_37.txt	Langrange	10	5	3	To be defined	0.000391	-354.5	
data/Instance_aproximated_38.txt	Langrange	10	5	3	To be defined	0.000284	-893.5	
data/Instance_aproximated_39.txt	Langrange	10	5	3	To be defined	0.000403	-170	
data/Instance_aproximated_40.txt	Langrange	10	5	3	To be defined	0.000338	-265	
data/Instance_aproximated_41.txt	Langrange	10	5	3	To be defined	0.000424	-569	
data/Instance_aproximated_42.txt	Langrange	10	5	3	To be defined	0.00043	376	
data/Instance_aproximated_43.txt	Langrange	10	5	3	To be defined	0.000378	507	
data/Instance_aproximated_44.txt	Langrange	10	5	3	To be defined	0.000302	3	
data/Instance_aproximated_45.txt	Langrange	10	5	3	To be defined	0.000731	760	
data/Instance_aproximated_46.txt	Langrange	10	5	3	To be defined	0.000302	-347	
data/Instance_aproximated_47.txt	Langrange	10	5	3	To be defined	0.000342	30.5	
data/Instance_aproximated_48.txt	Langrange	10	5	3	To be defined	0.000634	-186	
data/Instance_aproximated_49.txt	Langrange	10	5	3	To be defined	0.000375	-184	
data/Instance_aproximated_50.txt	Langrange	10	5	3	To be defined	0.00037	138.5	
data/Instance_aproximated_51.txt	Langrange	10	5	3	To be defined	0.000369	-85	
data/Instance_aproximated_52.txt	Langrange	10	5	3	To be defined	0.000332	-770	
data/Instance_aproximated_53.txt	Langrange	10	5	3	To be defined	0.000459	-301	
data/Instance_aproximated_54.txt	Langrange	10	5	3	To be defined	0.000511	-449	
data/Instance_aproximated_55.txt	Langrange	10	5	3	To be defined	0.000474	-124	
data/Instance_aproximated_56.txt	Langrange	10	5	3	To be defined	0.000421	-529	
data/Instance_aproximated_57.txt	Langrange	10	5	3	To be defined	0.000512	-351	
data/Instance_aproximated_58.txt	Langrange	10	5	3	To be defined	0.000383	-576	
data/Instance_aproximated_59.txt	Langrange	10	5	3	To be defined	0.000308	-853	
data/Instance_aproximated_60.txt	Langrange	10	5	3	To be defined	0.000375	-489	
data/Instance_aproximated_61.txt	Langrange	10	5	3	To be defined	0.000527	-716	
data/Instance_aproximated_62.txt	Langrange	10	5	3	To be defined	0.000459	-81	
data/Instance_aproximated_63.txt	Langrange	10	5	3	To be defined	0.000487	-423	
data/Instance_aproximated_64.txt	Langrange	10	5	3	To be defined	0.000427	95	
data/Instance_aproximated_65.txt	Langrange	10	5	3	To be defined	0.000877	-597	
data/Instance_aproximated_66.txt	Langrange	10	5	3	To be defined	0.000295	-441	
data/Instance_aproximated_67.txt	Langrange	10	5	3	To be defined	0.000368	-174	
data/Instance_aproximated_68.txt	Langrange	10	5	3	To be defined	0.000343	38	
data/Instance_aproximated_69.txt	Langrange	10	5	3	To be defined	0.000452	50	
data/Instance_aproximated_70.txt	Langrange	10	5	3	To be defined	0.000366	158	
data/Instance_aproximated_71.txt	Langrange	10	5	3	To be defined	0.000544	-446	
data/Instance_aproximated_72.txt	Langrange	10	5	3	To be defined	0.00035	-152	
data/Instance_aproximated_73.txt	Langrange	10	5	3	To be defined	0.000371	-365	
data/Instance_aproximated_74.txt	Langrange	10	5	3	To be defined	0.000295	-354	
data/Instance_aproximated_75.txt	Langrange	10	5	3	To be defined	0.000524	-428	
data/Instance_aproximated_76.txt	Langrange	10	5	3	To be defined	0.000457	-299	
data/Instance_aproximated_77.txt	Langrange	10	5	3	To be defined	0.000393	-226	
data/Instance_aproximated_78.txt	Langrange	10	5	3	To be defined	0.000399	-141.5	
data/Instance_aproximated_79.txt	Langrange	10	5	3	To be defined	0.000427	-265	
data/Instance_aproximated_80.txt	Langrange	10	5	3	To be defined	0.000366	-441	
data/Instance_aproximated_81.txt	Langrange	10	5	3	To be defined	0.000438	-516	
data/Instance_aproximated_82.txt	Langrange	10	5	3	To be defined	0.001248	92	
data/Instance_aproximated_83.txt	Langrange	10	5	3	To be defined	0.000378	-253	
data/Instance_aproximated_84.txt	Langrange	10	5	3	To be defined	0.000513	-353	
data/Instance_aproximated_85.txt	Langrange	10	5	3	To be defined	0.000313	-310	
data/Instance_aproximated_86.txt	Langrange	10	5	3	To be defined	0.000378	-636	
data/Instance_aproximated_87.txt	Langrange	10	5	3	To be defined	0.000381	-867	
data/Instance_aproximated_88.txt	Langrange	10	5	3	To be defined	0.000316	-284	
data/Instance_aproximated_89.txt	Langrange	10	5	3	To be defined	0.000531	-596	
data/Instance_aproximated_90.txt	Langrange	10	5	3	To be defined	0.000302	-143.5	
data/Instance_aproximated_91.txt	Langrange	10	5	3	To be defined	0.000486	-566	
data/Instance_aproximated_92.txt	Langrange	10	5	3	To be defined	0.000296	-228	
data/Instance_aproximated_93.txt	Langrange	10	5	3	To be defined	0.000458	-497	
data/Instance_aproximated_94.txt	Langrange	10	5	3	To be defined	0.001023	-150	
data/Instance_aproximated_95.txt	Langrange	10	5	3	To be defined	0.000878	-489	
data/Instance_aproximated_96.txt	Langrange	10	5	3	To be defined	0.000558	-220	
data/Instance_aproximated_97.txt	Langrange	10	5	3	To be defined	0.000411	-34	
data/Instance_aproximated_98.txt	Langrange	10	5	3	To be defined	0.000386	-608	
data/Instance_aproximated_99.txt	Langrange	10	5	3	To be defined	0.000289	-564	
data/Instance_aproximated_100.txt	Langrange	10	5	3	To be defined	0.000461	-90	
data/Instance_aproximated_101.txt	Langrange	20	5	3	To be defined	0.000399	-412	
data/Instance_aproximated_102.txt	Langrange	20	5	3	To be defined	0.000556	-871	
data/Instance_aproximated_103.txt	Langrange	20	5	3	To be defined	0.000472	-608	
data/Instance_aproximated_104.txt	Langrange	20	5	3	To be defined	0.00079	-484	
data/Instance_aproximated_105.txt	Langrange	20	5	3	To be defined	0.000516	-194.5	
data/Instance_aproximated_106.txt	Langrange	20	5	3	To be defined	0.000597	-66.5	
data/Instance_aproximated_107.txt	Langrange	20	5	3	To be defined	0.000508	-595	
data/Instance_aproximated_108.txt	Langrange	20	5	3	To be defined	0.000771	-322.5	
data/Instance_aproximated_109.txt	Langrange	20	5	3	To be defined	0.000376	-1105	
data/Instance_aproximated_110.txt	Langrange	20	5	3	To be defined	0.000767	-503	
data/Instance_aproximated_111.txt	Langrange	20	5	3	To be defined	0.000451	-1084.5	
data/Instance_aproximated_112.txt	Langrange	20	5	3	To be defined	0.000583	23	
data/Instance_aproximated_113.txt	Langrange	20	5	3	To be defined	0.000544	-1326	
data/Instance_aproximated_114.txt	Langrange	20	5	3	To be defined	0.000559	-227.5	
data/Instance_aproximated_115.txt	Langrange	20	5	3	To be defined	0.00065	-976	
data/Instance_aproximated_116.txt	Langrange	20	5	3	To be defined	0.000552	-1405	
data/Instance_aproximated_117.txt	Langrange	20	5	3	To be defined	0.000747	-1495	
data/Instance_aproximated_118.txt	Langrange	20	5	3	To be defined	0.000354	-877	
data/Instance_aproximated_119.txt	Langrange	20	5	3	To be defined	0.000587	-1258	
data/Instance_aproximated_120.txt	Langrange	20	5	3	To be defined	0.000793	223	
data/Instance_aproximated_121.txt	Langrange	20	5	3	To be defined	0.000697	-1090	
data/Instance_aproximated_122.txt	Langrange	20	5	3	To be defined	0.00041	-1559	
data/Instance_aproximated_123.txt	Langrange	20	5	3	To be defined	0.000503	-487	
data/Instance_aproximated_124.txt	Langrange	20	5	3	To be defined	0.000538	-212	
data/Instance_aproximated_125.txt	Langrange	20	5	3	To be defined	0.000803	-274.5	
data/Instance_aproximated_126.txt	Langrange	20	5	3	To be defined	0.000474	-435	
data/Instance_aproximated_127.txt	Langrange	20	5	3	To be defined	0.000622	-468	
data/Instance_aproximated_128.txt	Langrange	20	5	3	To be defined	0.000499	-574	
data/Instance_aproximated_129.txt	Langrange	20	5	3	To be defined	0.000362	-219	
data/Instance_aproximated_130.txt	Langrange	20	5	3	To be defined	0.000844	-806	
data/Instance_aproximated_131.txt	Langrange	20	5	3	To be defined	0.000653	-1052	
data/Instance_aproximated_132.txt	Langrange	20	5	3	To be defined	0.000509	-745	
data/Instance_aproximated_133.txt	Langrange	20	5	3	To be defined	0.000637	-284.5	
data/Instance_aproximated_134.txt	Langrange	20	5	3	To be defined	0.000433	-994	
data/Instance_aproximated_135.txt	Langrange	20	5	3	To be defined	0.000891	-999.5	
data/Instance_aproximated_136.txt	Langrange	20	5	3	To be defined	0.000882	-421.5	
data/Instance_aproximated_137.txt	Langrange	20	5	3	To be defined	0.000548	882	
data/Instance_aproximated_138.txt	Langrange	20	5	3	To be defined	0.000678	-1032.5	
data/Instance_aproximated_139.txt	Langrange	20	5	3	To be defined	0.001472	-433.5	
data/Instance_aproximated_140.txt	Langrange	20	5	3	To be defined	0.0005	-697	
data/Instance_aproximated_141.txt	Langrange	20	5	3	To be defined	0.000521	-219	
data/Instance_aproximated_142.txt	Langrange	20	5	3	To be defined	0.000401	-648	
data/Instance_aproximated_143.txt	Langrange	20	5	3	To be defined	0.000372	-543	
data/Instance_aproximated_144.txt	Langrange	20	5	3	To be defined	0.000477	-633	
data/Instance_aproximated_145.txt	Langrange	20	5	3	To be defined	0.000541	61	
data/Instance_aproximated_146.txt	Langrange	20	5	3	To be defined	0.00065	-1024	
data/Instance_aproximated_147.txt	Langrange	20	5	3	To be defined	0.000496	-802	
data/Instance_aproximated_148.txt	Langrange	20	5	3	To be defined	0.001126	-742.5	
data/Instance_aproximated_149.txt	Langrange	20	5	3	To be defined	0.000697	-1287	
data/Instance_aproximated_150.txt	Langrange	20	5	3	To be defined	0.000977	-356	
data/Instance_aproximated_151.txt	Langrange	20	5	3	To be defined	0.000558	-116	
data/Instance_aproximated_152.txt	Langrange	20	5	3	To be defined	0.000598	-598	
data/Instance_aproximated_153.txt	Langrange	20	5	3	To be defined	0.000426	588.5	
data/Instance_aproximated_154.txt	Langrange	20	5	3	To be defined	0.000527	-1005	
data/Instance_aproximated_155.txt	Langrange	20	5	3	To be defined	0.000665	-649	
data/Instance_aproximated_156.txt	Langrange	20	5	3	To be defined	0.000511	-477	
data/Instance_aproximated_157.txt	Langrange	20	5	3	To be defined	0.000767	-1022	
data/Instance_aproximated_158.txt	Langrange	20	5	3	To be defined	0.000395	-303	
data/Instance_aproximated_159.txt	Langrange	20	5	3	To be defined	0.000355	-654.5	
data/Instance_aproximated_160.txt	Langrange	20	5	3	To be defined	0.000332	-987	
data/Instance_aproximated_161.txt	Langrange	20	5	3	To be defined	0.000486	140	
data/Instance_aproximated_162.txt	Langrange	20	5	3	To be defined	0.000517	-47.5	
data/Instance_aproximated_163.txt	Langrange	20	5	3	To be defined	0.000456	226	
data/Instance_aproximated_164.txt	Langrange	20	5	3	To be defined	0.000481	-561.5	
data/Instance_aproximated_165.txt	Langrange	20	5	3	To be defined	0.000447	-695.5	
data/Instance_aproximated_166.txt	Langrange	20	5	3	To be defined	0.000542	-242	
data/Instance_aproximated_167.txt	Langrange	20	5	3	To be defined	0.000398	-590	
data/Instance_aproximated_168.txt	Langrange	20	5	3	To be defined	0.00047	-639	
data/Instance_aproximated_169.txt	Langrange	20	5	3	To be defined	0.001223	-287.5	
data/Instance_aproximated_170.txt	Langrange	20	5	3	To be defined	0.000632	-1058	
data/Instance_aproximated_171.txt	Langrange	20	5	3	To be defined	0.000391	-1444	
data/Instance_aproximated_172.txt	Langrange	20	5	3	To be defined	0.000633	-663.5	
data/Instance_aproximated_173.txt	Langrange	20	5	3	To be defined	0.000695	-336	
data/Instance_aproximated_174.txt	Langrange	20	5	3	To be defined	0.000439	-480.5	
data/Instance_aproximated_175.txt	Langrange	20	5	3	To be defined	0.000523	-1102.5	
data/Instance_aproximated_176.txt	Langrange	20	5	3	To be defined	0.000668	-326	
data/Instance_aproximated_177.txt	Langrange	20	5	3	To be defined	0.001452	-224	
data/Instance_aproximated_178.txt	Langrange	20	5	3	To be defined	0.00058	-433	
data/Instance_aproximated_179.txt	Langrange	20	5	3	To be defined	0.000542	-1192	
data/Instance_aproximated_180.txt	Langrange	20	5	3	To be defined	0.000606	-660	
data/Instance_aproximated_181.txt	Langrange	20	5	3	To be defined	0.000641	429	
data/Instance_aproximated_182.txt	Langrange	20	5	3	To be defined	0.000577	-482	
data/Instance_aproximated_183.txt	Langrange	20	5	3	To be defined	0.001213	-704	
data/Instance_aproximated_184.txt	Langrange	20	5	3	To be defined	0.000577	-232	
data/Instance_aproximated_185.txt	Langrange	20	5	3	To be defined	0.000776	-1114	
data/Instance_aproximated_186.txt	Langrange	20	5	3	To be defined	0.00042	-1050	
data/Instance_aproximated_187.txt	Langrange	20	5	3	To be defined	0.000385	-510	
data/Instance_aproximated_188.txt	Langrange	20	5	3	To be defined	0.000423	-602	
data/Instance_aproximated_189.txt	Langrange	20	5	3	To be defined	0.000541	-1507	
data/Instance_aproximated_190.txt	Langrange	20	5	3	To be defined	0.000702	-467.5	
data/Instance_aproximated_191.txt	Langrange	20	5	3	To be defined	0.000497	-664	
data/Instance_aproximated_192.txt	Langrange	20	5	3	To be defined	0.000434	-1013.5	
data/Instance_aproximated_193.txt	Langrange	20	5	3	To be defined	0.000546	-1198	
data/Instance_aproximated_194.txt	Langrange	20	5	3	To be defined	0.000804	-1440	
data/Instance_aproximated_195.txt	Langrange	20	5	3	To be defined	0.000347	-1179	
data/Instance_aproximated_196.txt	Langrange	20	5	3	To be defined	0.000357	-160.5	
data/Instance_aproximated_197.txt	Langrange	20	5	3	To be defined	0.000356	-524	
data/Instance_aproximated_198.txt	Langrange	20	5	3	To be defined	0.000501	-522	
data/Instance_aproximated_199.txt	Langrange	20	5	3	To be defined	0.000562	-394.5	
data/Instance_aproximated_200.txt	Langrange	20	5	3	To be defined	0.000426	-1178	
data/Instance_aproximated_201.txt	Langrange	50	5	3	To be defined	0.000562	-971	
data/Instance_aproximated_202.txt	Langrange	50	5	3	To be defined	0.000681	-3363	
data/Instance_aproximated_203.txt	Langrange	50	5	3	To be defined	0.000616	-1953	
data/Instance_aproximated_204.txt	Langrange	50	5	3	To be defined	0.000805	-2720	
data/Instance_aproximated_205.txt	Langrange	50	5	3	To be defined	0.000775	-336	
data/Instance_aproximated_206.txt	Langrange	50	5	3	To be defined	0.001266	-1477	
data/Instance_aproximated_207.txt	Langrange	50	5	3	To be defined	0.001839	-2210.5	
data/Instance_aproximated_208.txt	Langrange	50	5	3	To be defined	0.001139	-366	
data/Instance_aproximated_209.txt	Langrange	50	5	3	To be defined	0.001261	-2602.5	
data/Instance_aproximated_210.txt	Langrange	50	5	3	To be defined	0.000904	-2222	
data/Instance_aproximated_211.txt	Langrange	50	5	3	To be defined	0.000824	-1382.5	
data/Instance_aproximated_212.txt	Langrange	50	5	3	To be defined	0.00118	-1486	
data/Instance_aproximated_213.txt	Langrange	50	5	3	To be defined	0.001004	-547	
data/Instance_aproximated_214.txt	Langrange	50	5	3	To be defined	0.000947	-18.5	
data/Instance_aproximated_215.txt	Langrange	50	5	3	To be defined	0.00172	-3451	
data/Instance_aproximated_216.txt	Langrange	50	5	3	To be defined	0.001156	-521	
data/Instance_aproximated_217.txt	Langrange	50	5	3	To be defined	0.000865	-221	
data/Instance_aproximated_218.txt	Langrange	50	5	3	To be defined	0.00157	-1027	
data/Instance_aproximated_219.txt	Langrange	50	5	3	To be defined	0.001146	-2352	
data/Instance_aproximated_220.txt	Langrange	50	5	3	To be defined	0.001221	-3104	
data/Instance_aproximated_221.txt	Langrange	50	5	3	To be defined	0.001811	-2554	
data/Instance_aproximated_222.txt	Langrange	50	5	3	To be defined	0.000782	-1548	
data/Instance_aproximated_223.txt	Langrange	50	5	3	To be defined	0.000779	-1502	
data/Instance_aproximated_224.txt	Langrange	50	5	3	To be defined	0.001207	129	
data/Instance_aproximated_225.txt	Langrange	50	5	3	To be defined	0.000855	-2090.5	
data/Instance_aproximated_226.txt	Langrange	50	5	3	To be defined	0.001185	-2628.5	
data/Instance_aproximated_227.txt	Langrange	50	5	3	To be defined	0.000837	-906	
data/Instance_aproximated_228.txt	Langrange	50	5	3	To be defined	0.001171	-1793	
